"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"수퍼빈 주식회사","[수퍼빈] 인천 압축장 생산직 정규직 (지게차 필...","(22774)  인천광역시 서해구 봉수대로277번길 17, 수퍼빈 인천압축장 (석남동)","56059 전북특별자치도 순창군 금과면 서암로 201, 수퍼빈","시급11,060원 이상 ~ 11,060원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","플라스틱제품 생산기 조작원(852200)","산업용 로봇 제조업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","1. 주요업무 - 식음료용 투명페트병 압축 및 설비(압축기) 일상 점검 - 지게차 운행을 통한 입출고 지원 및 창고 내 물류 정돈  2. 자격요건 - 학력 무관 / 경력 무관 - 지게차 면허 소지자 (필수)  3. 우대사항 - 지게차 및 설비 경정비 가능자 우대 - 장기근속 가능자 우대  4. 근무지 - 인천광역시 서구 석남동 223-610 세윤기계 건물 내 (봉수대로 227번길 17)  5. 근무조건 및 처우 - 근무형태: 정규직 - 근무시간: 08:00 ~ 17:00 (기본 근무시간 / 휴게시간 1시간 포함)  ※ 현장 물류 및 회수 상황에 따라 이른 아침(새벽) 조기 출근이 발생할 수 있으며, 이 경우 퇴근 시간도 동일하게     앞당겨집니다. - 급여조건: 시급 11,060원 - 참고사항: 물량에 따라 간헐적인 연장 및 휴일 근무가 발생할 수 있으며, 발생 시 관련 수당(특근/연장수당 등)이                  근로기준법에 의거하여 별도 지급됩니다.","서류,면접","고용24,이메일","이력서,자기소개서","","031-605-6226","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"인천헤아림복지센터","만수6동(3지구) 방문요양보호사 구인","(21596)  인천광역시 남동구 담방로21번길 61, . (만수동, 만수뉴서울아파트)","21577 인천광역시 남동구 남동대로 730, 2층 (구월동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-28","","3등급 여자어르신 92세 혼자거주 거동가능  신체활동 정서지원 가사및 일상생활지원","서류,면접","고용24","기타(채용신체검사 결과지 )","","032-433-0129","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"다솜플러스재가복지센터","[자양동] 3등급 (80대) 할머님 / 오후/ 주...","(05096)  서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)","02766 서울특별시 성북구 돌곶이로34길 13 (장위동)","시급10,320원 이상,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-27","","[자양동] 3등급 (80대) 할머님 / 오후/ 3일 /   시간 : 13:00~16:00  업무 : 인지 활동 및 일상생활지원 (음식조리 안함)","면접","기타(전화)","기타(전화 후 방문)","","02-943-2088","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 3일 근무"
"(주)엘씨아이","제조분야 단순직종 종사원","(17555)  경기도 안성시 원곡면 원당로 149, (주)엘씨아이","17555 경기도 안성시 원곡면 원당로 149, (주)엘씨아이","시급10,320원 이상,","평일 : (오전) 8시 00분~(오후) 17시 00분 (물량에 따라 잔업 2시간 있음)  * 휴게시간 90분  오전 10:00 ~ 10:15  점심 12:00 ~ 13:00  오후 15:00 ~ 15:15 , 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","고무제품 조립원 및 검사원(852401)","화학 살균？살충제 및 농업용 약제 제조업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","- 프레스 생산","서류,면접","고용24","이력서,자기소개서","","","평일 : (오전) 8시 00분~(오후) 17시 00분 (물량에 따라 잔업 2시간 있음)  * 휴게시간 90분  오전 10:00 ~ 10:15  점심 12:00 ~ 13:00  오후 15:00 ~ 15:15 , 주 5일 근무"
"금빛재가복지센터","[은천동, 벽산블루밍아파트] 4등급 여자 어르신,...","(08715)  서울특별시 관악구 양녕로 117, 303동 (봉천동, 벽산블루밍아파트)","08793 서울특별시 관악구 남부순환로246가길 12, 101호 (봉천동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","[은천동, 벽산블루밍아파트] 4등급 여자 어르신, 독거 - 신체지원, 정서지원 및 일상생활지원 - 주 5일, 오후 3시간(14:00~17:00) - 시급: 13,500원(주휴수당, 연차수당 포함)","면접","방문,기타(전화)","이력서","","02-877-6530","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"너른고을돌봄센터","서현동 요양선생님 구합니다.","(13573)  경기도 성남시 분당구 새마을로83번길 15 (서현동, 서현포스파크)","12821 경기도 광주시 신현로 65-22, 202호 (신현동, 현대모닝사이드1차 상가)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","4등급 어머님이시고 혼자 거주하십니다.  08:00 ~ 11:00시 까지 월~금 주 5일 근무입니다.   주휴수당 포함 13,100원 입니다","서류","고용24","기타(요양보호사 1급자격증 건강검진 (1년 이내))","","031-715-6680","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무"
"그린힐홈케어","절골길 스타벅스 뒤 1등급 어머님 케어 도움 주실...","(12775)  경기도 광주시 절골길 63, . (장지동, 상록타운)","12747 경기도 광주시 탄벌길 108-7, 시계탑건물 (탄벌동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 5시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 보건업","관계없음","학력무관","","26-07-29","채용시까지  26-09-27","","-신체 케어 위주 -월~토(주 6일) -중증 가산 있음.","면접","방문","기타(자격증,신분증,건강진단서)","","031-798-8663","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 5시 30분, 주 6일 근무"
"해가빛복지센터","[후암동/4등급] 재가요양보호사 구인","(04329)  서울특별시 용산구 두텁바위로57길 12, .","04360 서울특별시 용산구 효창원로12길 37, 원효로 4가 19 정영 빌딩 5층 501호 (원효로4가)","시급10,320원 이상,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 비거주 복지 서비스업","관계없음","학력무관","","26-07-30","채용시까지  26-09-23","","[후암동 ] 4등급 할머니 재가요양보호  - 직무내용: 주변정리, 말벗 등  - 장기요양급여 적용 근로시간: 1일 3시간   - 주5일 근무 / 근무시간 : 14:00~17:00   - 시급: 13,000원~13,200원(최저시급 10,320원 + 주휴수당 등 별도)","면접","방문,기타(통화 후 면접)","기타(요양보호사 자격증)","","","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"예담재가센터","[ 진접읍 ] 4등급 할머님 재가요양보호사 구인","(12004)  경기도 남양주시 진접읍 금강로 1530-33 (남양주장현행복주택2단지)","12055 경기도 남양주시 진접읍 해밀예당3로 134, 504 (진접프라자)","시급10,320원 이상,","평일 : 주5일, 격주토요일 가능, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","신입","학력무관","","26-07-30","채용시까지  26-09-29","","- 장현 행복주택 4등급 독거 할머님 케어도움 - 가사, 일상생활지원도움 및 병원동행 - 화장실이동및 단독보행가능 - 08:30~11:30 주5일, 격주토요일. - 시급 13,000원 (10,320원+기타 수당 포함) - 담당자: 010-5228-6664","서류","방문,기타(전화통화후 방문 010-5228-6664)","이력서,기타(건강검진)","","031-575-9981","평일 : 주5일, 격주토요일 가능, 주 5일 근무"
"다올림노인복지재가센터","용인 처인구 마평동 3등급 어머니 재가요양보호사 ...","(17145)  경기도 용인시 처인구 동부로 7, . (마평동, 라이프아파트)","05264 서울특별시 강동구 상암로 41 (암사동, 암사동양덱스빌)","시급13,100원 이상 ~ 13,100원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-25","","- 용인시 처인구 마평동 3등급 어머니 케어 - 주1회 샤워 도움, 주변정리정돈, 말벗도움, 식사도움, 복약도움, 병원동행, 장보기 - 청력이 저하인상태라  가끔은 딴소리하시는 바람에 요양사님이 오해를 하시는데     미리 알고 환자로 받아들이시면 오해할 일도 없을 듯 - 급여 : 시급 13,100 (시급 10,320원 + 수당) - 근무시간 : 주5일 (월~금 / 14:00~17:00)","서류,면접","방문,기타(전화 후 방문)","이력서,기타(요양보호사 자격증 필수)","","02-429-8250","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
"양천재가복지센터","[남부터미널역인근] 재가요양보호사모집","(06721)  서울특별시 서초구 효령로68길 81, 서초동 (서초동, 서초자이아파트)","07971 서울특별시 양천구 목동중앙북로18길 5 (목동, 언드탑)","시급10,320원 이상 ~ 15,000원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","기타 사회서비스 관리 행정","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","서초동, 서초자이아파트/남부터미널역인근  - 대상자: 3등급 할아버지, 거동가능, 배우자와 거주 - 직무내용: 가사 및 일상생활지원 - 근로시간: 09시~12시/주5일 - 시급 10,320원[포괄 시급 15,000원]","서류,면접","방문,기타(전화 02-2651-2133)","기타(자격증, 건강검진 결과지)","","02-2651-2133","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"광명노인복지센터","재가요양보호사 구인","(21537)  인천광역시 남동구 인주대로811번길 6-7 (구월동, 동도빌라)","21647 인천광역시 남동구 호구포로 294-1 (논현동)","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-22","","- 3등급 남자어르신 방문요양/독거 - 각종 수당 포함시 시급 13,000원 - 주6일 근무","면접","방문","이력서","","","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무"
"브라보 시니어케어 강남센터","[자곡동 강남한양수자인/2등급,5등급 치매여자어르...","(06370)  서울특별시 강남구 자곡로 260, 자곡동 (자곡동, 강남한양수자인아파트)","06231 서울특별시 강남구 도곡로 221, 3층 2호실 (역삼동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : 근무 시간 : 주4일 8시간, 주1일 4시간/ 요일, 시간 협의, 주5일, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","그 외 기타 분류 안된 사업지원 서비스업","관계없음","학력무관","","26-07-29","26-09-28","","- 대상자 : 자곡동  2등급,5등급 치매여자어르신  (90대 중반) - 직무 내용 :  일상 생활 지원, 정서지원, 인지지원 - 근무 시간 : 주4일 8시간, 주1일 4시간/ 요일, 시간 협의, 주5일 - 시급 : 10,320원 + 기타 수당   * 채용담당 010-3988-4279","면접","기타(* 지원 문의 : 전화(010-3988-4279))","이력서","","","평일 : 근무 시간 : 주4일 8시간, 주1일 4시간/ 요일, 시간 협의, 주5일, 주 5일 근무"
"알라딘재가방문요양센터","(안양동) 요양보호사 구인","(13988)  경기도 안양시 만안구 박달로557번길 27, 1 (안양동, 청솔노블빌)","13987 경기도 안양시 만안구 박달로545번길 11, 알라딘재가방문요양센터 (박달동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 1시 30분 ~ (오후) 4시 30분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-28","","4등급, 40년생 여자어르신 어르신 아들과 거주하시나 직장인으로 낮시간에는 혼자 계심. 요양보호사 일반업무 통합시급 13,500( 시급10,320 + 주휴수당 + 기타수당 포함) 근무시간 13:30~16:30(주 3일)","기타(통화 후 면접)","기타(통화 후 면접)","기타(요양보호사 자격증, 취업 건강검진 진단서)","","031-393-1569","평일 : (근무시간) (오후) 1시 30분 ~ (오후) 4시 30분, 주 3일 근무"
"늘봄요양보호센터","별내면 청학리 2등급 남자어르신 케어해주실 재가요...","(12083)  경기도 남양주시 청학로68번길 6, 5단지 (청학주공5단지아파트)","12080 경기도 남양주시 별내면 청학로학교길 10-32","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 4시 30분 ~ (오후) 7시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","그 외 기타 보건업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","2등급 남자자어르신 신체활동지원 정서지원 가사 및 일상생활 지원  *각종 수당포함 시급 13,150원 (중증 수당 별도)  자격증/건강검진 필수  근무시간 (월~토) 오후 16시30분~19시30분","면접","방문,기타(전화 또는 방문)","기타(<면접시 제출> 요양보호사 자격증 건강검진결과확인서  <합격시 제출> 통장사본 주민등록증 사본 )","","031-821-1213","평일 : (근무시간) (오후) 4시 30분 ~ (오후) 7시 30분, 주 6일 근무"
"드림재가복지센터","수유시장근처 3등급 여 어르신/ 요양보호사 구인","(01125)  서울특별시 강북구 도봉로59길 23 (미아동, 서후그랑빌)","01345 서울특별시 도봉구 방학로2길 35, 2층 전부 (방학동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","경력","학력무관","","26-07-30","채용시까지  26-09-29","","* 3등급 여어르신  - 업무 : 일상생활지원, 가사, 기저귀케어/ 어르신은 혼자서 식사하시고 체위변경하심.    - 동거가족 : 남편         * 근무장소 : 수유시장 근처  * 근무시간 : 09:00~12:00, 주5~6일, 격주토근무   * 시급10,320원 (주휴수당 등 포함 시 시급 13,100원)","면접","방문","기타(요양보호사자격증, 건강검진확인서 (2026년))","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"한결애복지센터","신길동 3등급 할머니 오전 케어가능한 분","(15400)  경기도 안산시 단원구 삼일로 13, 0 (신길동, 휴먼시아)","15240 경기도 안산시 단원구 선부광장1로 26, 205 (선부동, 문정프라자)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-29","채용시까지  26-09-28","","몸이 불편한 어르신댁에 직접 방문하여 하루에 3시간씩  일상생활함께하기 ,정서지원, 병원동행 등 일상생활지원등의  서비스를 진행하여  어르신의  안정된 삶이 지속되도록 도움을 드리는 서비스입니다.   * 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다  주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음. * 제수당포함 13,000원 * 주6일 (시간: 08:30 ~11:30)","면접","방문,팩스,고용24,이메일,자사채용사이트(longcare.or.kr)","기타(채용시: 신분증.등본.자격증.건강검진결과지.범죄조회회보서 등 서류첨부)","","031-411-1911","평일 : (근무시간) (오전) 8시 30분 ~ (오전) 11시 30분, 주 6일 근무"
"효담재가센터","2등급 남자어르신 도와주실 남자요양보호사님 구합니...","(16853)  경기도 용인시 수지구 성복1로164번길 20, 101동 (성복동, 버들치마을 성복자이1차)","16816 경기도 용인시 수지구 수지로227번길 4 (신봉동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-29","채용시까지  26-09-28","","2등급 남자어르신 도와주실 남자 요양보호사님 구합니다  오른쪽 편마비   월요일~ 토요일  08:00~11:00  * 포괄 시급 - 13,200  식사도움, 산책, 개인위생도움  배우자와 함께 거주","서류,기타(전화)","방문,기타(전화)","기타(전화)","","031-262-2295","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무"
"다원재가센터","4등급 51년생 서울 양천구 신월동 여자어르신 요...","(07920)  서울특별시 양천구 곰달래로5길 57-1, 301호","13166 경기도 성남시 중원구 자혜로 70-1, 1층 다원재가센터 (금광동)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","경력","학력무관","","26-07-30","채용시까지  26-09-29","","4등급 51년생 여자 어르신 위치 : 서울 양천구 곰달래로5길 57-1, 301호 시간 : 월~금 9시~12시  시급 : 13,000원(최저임금+주휴수당+연차수당+기타수당)","서류,면접","방문","이력서","","031-747-7434","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"강동천호재가복지센터","[신곡동/5등급 할아버님]재가요양보호사 모집","(11739)  경기도 의정부시 회룡로 245 (신곡동, 풍림·한국아파트)","05245 서울특별시 강동구 천중로2길 35-26, 102호 (천호동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : 1일 3시간 협의(주5일), 주 5일 근무","기간의 정함이 있는 근로계약12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-29","채용시까지  26-09-28","","-요양보호대상자: 5등급 할아버님(83세) -근무지: 의정부 신곡동 한국아파트 -근무시간: 1일 3시간 협의(주5일) -직무내용: 병원동행, 말벗, 일상가사지원 등 -장기요양급여: 시급13,100원(주휴 및 연차수당 포함/교통비60,000원 별도지급) -문 의: 010-3100-8862","면접","방문,기타(전화상담후 면접)","기타(자격증사본, 건강검진확인증)","","02-477-3777","평일 : 1일 3시간 협의(주5일), 주 5일 근무"
"아리아케어 방문요양 관악신림센터","[남강고등학교 인근] 3등급 여자 어르신, 주 6...","(08854)  서울특별시 관악구 난곡로34나길 40, 2층","08858 서울특별시 관악구 난곡로 167, 105동 지하층 202호&203호 아리아케어 방문요양 관악신림센터 (신림동, 임광관악파크아파트)","시급10,320원 이상 ~ 10,320원 이하,","평일 : 오전 10:00~13:00 1명 오후 15:00~18:00 1명, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","[남강고등학교 인근] 3등급 여자 어르신, 주 6일, 오전10:00~13:00 / 오후 15:00~18:00  - 직무: 산책동행, 주변정리정돈, 말벗, 간단한 가사지원 - 정상보행 가능하시나 낙상방지 위해 도움필요 / 요실금으로 기저귀착용중이나 기저귀케어는 안함 - 근무시간: 주 6일, 오전10:00~13:00 / 오후 15:00~18:00 , 각각 3시간 - 시급: 13,000원(주휴수당, 연차수당 포함)","면접","방문,자사채용사이트(sohemy@naver.com),기타(전화)","기타(요양보호사 자격증, 건강검진 확인서)","","","평일 : 오전 10:00~13:00 1명 오후 15:00~18:00 1명, 주 6일 근무"
"길 남양재가복지센터","급구)안산시(사동/후곡3길23) 요양보호사","(15589)  경기도 안산시 상록구 후곡3길 23, 1층","18258 경기도 화성시 만세구 남양읍 남양성지로 183, 103호","시급13,000원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-28","","-대상자 : 5등급 할아버지 -근무시간 : 주6일 09~12시 -식사준비, 청소, 세탁, 산책/병원동행, 말벗 -급여 : 시급 10,320원 + 기타수당 2,680원 = 13,000원 -치매교육이수 필수","서류,면접","방문,고용24","기타(-요양보호사 자격증(치매교육 이수필) -건강검진 결과지(만료일 1년이내이며 판정일이나 판독일이 기재되어있어야 함(공단서류 기준임)))","","031-355-8484","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"100세시대재가요양센터","등촌9단지) 여자어르신 오전3시간 주5일 요양보호...","(07577)  서울특별시 강서구 화곡로63가길 92, 901동 (등촌동, 등촌9단지주공아파트)","07577 서울특별시 강서구 화곡로63가길 92, 106호 100세재가요양센터 (등촌동, 등촌9단지주공아파트)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-07-29","채용시까지  26-09-28","","74세 4등급 여자어르신/ 거동가능/딸과 동거  가사위주(반찬만들어 식사차리기)  * 시급 : 13000원 (기본 10,320원+ 주휴 등 기타수당 포함)","서류","고용24","이력서","","02-3662-0906","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"(주)유진금속","자동차금형,현장직모집","(15607)  경기도 안산시 단원구 별망로270번길 14 (성곡동)","15607 경기도 안산시 단원구 별망로270번길 14 (성곡동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 30분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","CNC 밀링기 조작원(NC 밀링기 조작원)(813203)","알루미늄주물 주조업","신입","학력무관","","26-07-29","채용시까지  26-09-28","","자동차금형원,현장직모집","서류,면접","팩스,이메일","이력서","","031-431-4997","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 30분, 주 5일 근무"
"주식회사 금화피앤에스","금화피앤에스 생산직 사원 모집","(17604)  경기도 안성시 미양면 제4산단1로 10, 주식회사 금화피앤에스","17604 경기도 안성시 미양면 제4산단1로 10, 주식회사 금화피앤에스","시급11,450원 이상 ~ 11,450원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 30분 오전 쉬는시간 10:00~10:15 오후 쉬는시간 15:00~15:15 점심시간 12:00~13:00, 주 5일 근무","기간의 정함이 있는 근로계약12 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","식품 분야 단순 종사원(890006)","가금류 가공 및 저장 처리업","관계없음","학력무관","","26-07-30","채용시까지  26-09-28","","단순노무 및 포장","서류,면접","고용24,이메일","이력서","","031-671-6611","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 5시 30분 오전 쉬는시간 10:00~10:15 오후 쉬는시간 15:00~15:15 점심시간 12:00~13:00, 주 5일 근무"
"지극정성 노인복지센터","부평동 / 부평중학교 인근 / 4등급 어르신케어 ...","(21356)  인천광역시 부평구 장제로197번길 23, . (부평동, 영빈빌리지)","21984 인천광역시 연수구 송도과학로16번길 13-18, 805호 (송도동, 송도건원테크노큐브)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-07-30","채용시까지  26-09-29","","[부평동/ 주6일 / 4등급 어르신케어 요양보호사 모집]  - 4등급 할머니 / 인지양호 / 거동가능  - 가사 지원 및 일상생활 지원   - 12:00~15:00 / 주 6일   - 시급: 13,000원 (최저시급 10,320원+기타수당)   - 부평구 장제로 197번길 23 소재","서류,면접","방문","이력서","","","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 6일 근무"
"(주)케어링 방문요양센터 용인 처인점","성실한 요양보호사 선생님 모집 합니다. (안성 난...","(17501)  경기도 안성시 재인길 69-9","17136 경기도 용인시 처인구 이동읍 경기동로 713, 2층","시급10,320원 이상,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","신입","학력무관","","26-07-30","채용시까지  26-09-29","","여자 어르신(4등급) 동거인 : 배우자, 자녀  근무 일정: 월~금(주5일) 근무 시간: 13:00~16:00  식사 도움 청소 등 환경정비 외출, 장보기, 병원 동행 등 외부활동 지원  기타 수당 포함 13,500원","서류,면접,기타(*근무 시간 및 급여 등 상세 근로조건은 입사 전 재확인하시기 바랍니다.   *시급 10,320+주휴수당+기타수당: 13,000원)","방문,고용24,기타(요양보호사 자격증 사본,건강검진 결과지 (1년미만 검진결과지),입사 시  통장사본)","이력서,기타(* 주민번호가 기재된 서류는 채용 확정 후 제출바랍니다. * 1년 이내의 건강검진 결과지 (1차 검진) 제출 요망.)","","031-335-5004","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무"
